100 1000
1 2 1
1 3 1
1 4 1
1 5 1
1 6 1
1 7 1
1 8 1
1 9 1
1 10 1
1 11 1
1 12 1
1 13 1
1 14 1
1 15 1
1 16 1
1 17 1
1 18 1
1 19 1
1 20 1
1 21 1
1 22 1
1 23 1
1 24 1
1 25 1
1 26 1
1 27 1
1 28 1
1 29 1
1 30 1
1 31 1
1 32 1
1 33 1
1 34 1
1 35 1
1 36 1
1 37 1
1 38 1
1 39 1
1 40 1
1 41 1
1 42 1
1 43 1
1 44 1
1 45 1
1 46 1
1 47 1
1 48 1
1 49 1
1 50 1
1 51 1
1 52 1
1 53 1
1 54 1
1 55 1
1 56 1
1 57 1
1 58 1
1 59 1
1 60 1
1 61 1
1 62 1
1 63 1
1 64 1
1 65 1
1 66 1
1 67 1
1 68 1
1 69 1
1 70 1
1 71 1
1 72 1
1 73 1
1 74 1
1 75 1
1 76 1
1 77 1
1 78 1
1 79 1
1 80 1
1 81 1
1 82 1
1 83 1
1 84 1
1 85 1
1 86 1
1 87 1
1 88 1
1 89 1
1 90 1
1 91 1
1 92 1
1 93 1
1 94 1
1 95 1
1 96 1
1 97 1
1 98 1
1 99 1
1 100 1
2 3 1000
2 4 1000
2 5 1000
2 6 1000
2 7 1000
2 8 1000
2 9 1000
2 10 1000
2 11 1000
2 12 1000
2 13 1000
2 14 1000
2 15 1000
2 16 1000
2 17 1000
2 18 1000
2 19 1000
2 20 1000
2 21 1000
2 22 1000
2 23 1000
2 24 1000
2 25 1000
2 26 1000
2 27 1000
2 28 1000
2 29 1000
2 30 1000
2 31 1000
2 32 1000
2 33 1000
2 34 1000
2 35 1000
2 36 1000
2 37 1000
2 38 1000
2 39 1000
2 40 1000
2 41 1000
2 42 1000
2 43 1000
2 44 1000
2 45 1000
2 46 1000
2 47 1000
2 48 1000
2 49 1000
2 50 1000
2 51 1000
2 52 1000
2 53 1000
2 54 1000
2 55 1000
2 56 1000
2 57 1000
2 58 1000
2 59 1000
2 60 1000
2 61 1000
2 62 1000
2 63 1000
2 64 1000
2 65 1000
2 66 1000
2 67 1000
2 68 1000
2 69 1000
2 70 1000
2 71 1000
2 72 1000
2 73 1000
2 74 1000
2 75 1000
2 76 1000
2 77 1000
2 78 1000
2 79 1000
2 80 1000
2 81 1000
2 82 1000
2 83 1000
2 84 1000
2 85 1000
2 86 1000
2 87 1000
2 88 1000
2 89 1000
2 90 1000
2 91 1000
2 92 1000
2 93 1000
2 94 1000
2 95 1000
2 96 1000
2 97 1000
2 98 1000
2 99 1000
2 100 1000
3 4 1000
3 5 1000
3 6 1000
3 7 1000
3 8 1000
3 9 1000
3 10 1000
3 11 1000
3 12 1000
3 13 1000
3 14 1000
3 15 1000
3 16 1000
3 17 1000
3 18 1000
3 19 1000
3 20 1000
3 21 1000
3 22 1000
3 23 1000
3 24 1000
3 25 1000
3 26 1000
3 27 1000
3 28 1000
3 29 1000
3 30 1000
3 31 1000
3 32 1000
3 33 1000
3 34 1000
3 35 1000
3 36 1000
3 37 1000
3 38 1000
3 39 1000
3 40 1000
3 41 1000
3 42 1000
3 43 1000
3 44 1000
3 45 1000
3 46 1000
3 47 1000
3 48 1000
3 49 1000
3 50 1000
3 51 1000
3 52 1000
3 53 1000
3 54 1000
3 55 1000
3 56 1000
3 57 1000
3 58 1000
3 59 1000
3 60 1000
3 61 1000
3 62 1000
3 63 1000
3 64 1000
3 65 1000
3 66 1000
3 67 1000
3 68 1000
3 69 1000
3 70 1000
3 71 1000
3 72 1000
3 73 1000
3 74 1000
3 75 1000
3 76 1000
3 77 1000
3 78 1000
3 79 1000
3 80 1000
3 81 1000
3 82 1000
3 83 1000
3 84 1000
3 85 1000
3 86 1000
3 87 1000
3 88 1000
3 89 1000
3 90 1000
3 91 1000
3 92 1000
3 93 1000
3 94 1000
3 95 1000
3 96 1000
3 97 1000
3 98 1000
3 99 1000
3 100 1000
4 5 1000
4 6 1000
4 7 1000
4 8 1000
4 9 1000
4 10 1000
4 11 1000
4 12 1000
4 13 1000
4 14 1000
4 15 1000
4 16 1000
4 17 1000
4 18 1000
4 19 1000
4 20 1000
4 21 1000
4 22 1000
4 23 1000
4 24 1000
4 25 1000
4 26 1000
4 27 1000
4 28 1000
4 29 1000
4 30 1000
4 31 1000
4 32 1000
4 33 1000
4 34 1000
4 35 1000
4 36 1000
4 37 1000
4 38 1000
4 39 1000
4 40 1000
4 41 1000
4 42 1000
4 43 1000
4 44 1000
4 45 1000
4 46 1000
4 47 1000
4 48 1000
4 49 1000
4 50 1000
4 51 1000
4 52 1000
4 53 1000
4 54 1000
4 55 1000
4 56 1000
4 57 1000
4 58 1000
4 59 1000
4 60 1000
4 61 1000
4 62 1000
4 63 1000
4 64 1000
4 65 1000
4 66 1000
4 67 1000
4 68 1000
4 69 1000
4 70 1000
4 71 1000
4 72 1000
4 73 1000
4 74 1000
4 75 1000
4 76 1000
4 77 1000
4 78 1000
4 79 1000
4 80 1000
4 81 1000
4 82 1000
4 83 1000
4 84 1000
4 85 1000
4 86 1000
4 87 1000
4 88 1000
4 89 1000
4 90 1000
4 91 1000
4 92 1000
4 93 1000
4 94 1000
4 95 1000
4 96 1000
4 97 1000
4 98 1000
4 99 1000
4 100 1000
5 6 1000
5 7 1000
5 8 1000
5 9 1000
5 10 1000
5 11 1000
5 12 1000
5 13 1000
5 14 1000
5 15 1000
5 16 1000
5 17 1000
5 18 1000
5 19 1000
5 20 1000
5 21 1000
5 22 1000
5 23 1000
5 24 1000
5 25 1000
5 26 1000
5 27 1000
5 28 1000
5 29 1000
5 30 1000
5 31 1000
5 32 1000
5 33 1000
5 34 1000
5 35 1000
5 36 1000
5 37 1000
5 38 1000
5 39 1000
5 40 1000
5 41 1000
5 42 1000
5 43 1000
5 44 1000
5 45 1000
5 46 1000
5 47 1000
5 48 1000
5 49 1000
5 50 1000
5 51 1000
5 52 1000
5 53 1000
5 54 1000
5 55 1000
5 56 1000
5 57 1000
5 58 1000
5 59 1000
5 60 1000
5 61 1000
5 62 1000
5 63 1000
5 64 1000
5 65 1000
5 66 1000
5 67 1000
5 68 1000
5 69 1000
5 70 1000
5 71 1000
5 72 1000
5 73 1000
5 74 1000
5 75 1000
5 76 1000
5 77 1000
5 78 1000
5 79 1000
5 80 1000
5 81 1000
5 82 1000
5 83 1000
5 84 1000
5 85 1000
5 86 1000
5 87 1000
5 88 1000
5 89 1000
5 90 1000
5 91 1000
5 92 1000
5 93 1000
5 94 1000
5 95 1000
5 96 1000
5 97 1000
5 98 1000
5 99 1000
5 100 1000
6 7 1000
6 8 1000
6 9 1000
6 10 1000
6 11 1000
6 12 1000
6 13 1000
6 14 1000
6 15 1000
6 16 1000
6 17 1000
6 18 1000
6 19 1000
6 20 1000
6 21 1000
6 22 1000
6 23 1000
6 24 1000
6 25 1000
6 26 1000
6 27 1000
6 28 1000
6 29 1000
6 30 1000
6 31 1000
6 32 1000
6 33 1000
6 34 1000
6 35 1000
6 36 1000
6 37 1000
6 38 1000
6 39 1000
6 40 1000
6 41 1000
6 42 1000
6 43 1000
6 44 1000
6 45 1000
6 46 1000
6 47 1000
6 48 1000
6 49 1000
6 50 1000
6 51 1000
6 52 1000
6 53 1000
6 54 1000
6 55 1000
6 56 1000
6 57 1000
6 58 1000
6 59 1000
6 60 1000
6 61 1000
6 62 1000
6 63 1000
6 64 1000
6 65 1000
6 66 1000
6 67 1000
6 68 1000
6 69 1000
6 70 1000
6 71 1000
6 72 1000
6 73 1000
6 74 1000
6 75 1000
6 76 1000
6 77 1000
6 78 1000
6 79 1000
6 80 1000
6 81 1000
6 82 1000
6 83 1000
6 84 1000
6 85 1000
6 86 1000
6 87 1000
6 88 1000
6 89 1000
6 90 1000
6 91 1000
6 92 1000
6 93 1000
6 94 1000
6 95 1000
6 96 1000
6 97 1000
6 98 1000
6 99 1000
6 100 1000
7 8 1000
7 9 1000
7 10 1000
7 11 1000
7 12 1000
7 13 1000
7 14 1000
7 15 1000
7 16 1000
7 17 1000
7 18 1000
7 19 1000
7 20 1000
7 21 1000
7 22 1000
7 23 1000
7 24 1000
7 25 1000
7 26 1000
7 27 1000
7 28 1000
7 29 1000
7 30 1000
7 31 1000
7 32 1000
7 33 1000
7 34 1000
7 35 1000
7 36 1000
7 37 1000
7 38 1000
7 39 1000
7 40 1000
7 41 1000
7 42 1000
7 43 1000
7 44 1000
7 45 1000
7 46 1000
7 47 1000
7 48 1000
7 49 1000
7 50 1000
7 51 1000
7 52 1000
7 53 1000
7 54 1000
7 55 1000
7 56 1000
7 57 1000
7 58 1000
7 59 1000
7 60 1000
7 61 1000
7 62 1000
7 63 1000
7 64 1000
7 65 1000
7 66 1000
7 67 1000
7 68 1000
7 69 1000
7 70 1000
7 71 1000
7 72 1000
7 73 1000
7 74 1000
7 75 1000
7 76 1000
7 77 1000
7 78 1000
7 79 1000
7 80 1000
7 81 1000
7 82 1000
7 83 1000
7 84 1000
7 85 1000
7 86 1000
7 87 1000
7 88 1000
7 89 1000
7 90 1000
7 91 1000
7 92 1000
7 93 1000
7 94 1000
7 95 1000
7 96 1000
7 97 1000
7 98 1000
7 99 1000
7 100 1000
8 9 1000
8 10 1000
8 11 1000
8 12 1000
8 13 1000
8 14 1000
8 15 1000
8 16 1000
8 17 1000
8 18 1000
8 19 1000
8 20 1000
8 21 1000
8 22 1000
8 23 1000
8 24 1000
8 25 1000
8 26 1000
8 27 1000
8 28 1000
8 29 1000
8 30 1000
8 31 1000
8 32 1000
8 33 1000
8 34 1000
8 35 1000
8 36 1000
8 37 1000
8 38 1000
8 39 1000
8 40 1000
8 41 1000
8 42 1000
8 43 1000
8 44 1000
8 45 1000
8 46 1000
8 47 1000
8 48 1000
8 49 1000
8 50 1000
8 51 1000
8 52 1000
8 53 1000
8 54 1000
8 55 1000
8 56 1000
8 57 1000
8 58 1000
8 59 1000
8 60 1000
8 61 1000
8 62 1000
8 63 1000
8 64 1000
8 65 1000
8 66 1000
8 67 1000
8 68 1000
8 69 1000
8 70 1000
8 71 1000
8 72 1000
8 73 1000
8 74 1000
8 75 1000
8 76 1000
8 77 1000
8 78 1000
8 79 1000
8 80 1000
8 81 1000
8 82 1000
8 83 1000
8 84 1000
8 85 1000
8 86 1000
8 87 1000
8 88 1000
8 89 1000
8 90 1000
8 91 1000
8 92 1000
8 93 1000
8 94 1000
8 95 1000
8 96 1000
8 97 1000
8 98 1000
8 99 1000
8 100 1000
9 10 1000
9 11 1000
9 12 1000
9 13 1000
9 14 1000
9 15 1000
9 16 1000
9 17 1000
9 18 1000
9 19 1000
9 20 1000
9 21 1000
9 22 1000
9 23 1000
9 24 1000
9 25 1000
9 26 1000
9 27 1000
9 28 1000
9 29 1000
9 30 1000
9 31 1000
9 32 1000
9 33 1000
9 34 1000
9 35 1000
9 36 1000
9 37 1000
9 38 1000
9 39 1000
9 40 1000
9 41 1000
9 42 1000
9 43 1000
9 44 1000
9 45 1000
9 46 1000
9 47 1000
9 48 1000
9 49 1000
9 50 1000
9 51 1000
9 52 1000
9 53 1000
9 54 1000
9 55 1000
9 56 1000
9 57 1000
9 58 1000
9 59 1000
9 60 1000
9 61 1000
9 62 1000
9 63 1000
9 64 1000
9 65 1000
9 66 1000
9 67 1000
9 68 1000
9 69 1000
9 70 1000
9 71 1000
9 72 1000
9 73 1000
9 74 1000
9 75 1000
9 76 1000
9 77 1000
9 78 1000
9 79 1000
9 80 1000
9 81 1000
9 82 1000
9 83 1000
9 84 1000
9 85 1000
9 86 1000
9 87 1000
9 88 1000
9 89 1000
9 90 1000
9 91 1000
9 92 1000
9 93 1000
9 94 1000
9 95 1000
9 96 1000
9 97 1000
9 98 1000
9 99 1000
9 100 1000
10 11 1000
10 12 1000
10 13 1000
10 14 1000
10 15 1000
10 16 1000
10 17 1000
10 18 1000
10 19 1000
10 20 1000
10 21 1000
10 22 1000
10 23 1000
10 24 1000
10 25 1000
10 26 1000
10 27 1000
10 28 1000
10 29 1000
10 30 1000
10 31 1000
10 32 1000
10 33 1000
10 34 1000
10 35 1000
10 36 1000
10 37 1000
10 38 1000
10 39 1000
10 40 1000
10 41 1000
10 42 1000
10 43 1000
10 44 1000
10 45 1000
10 46 1000
10 47 1000
10 48 1000
10 49 1000
10 50 1000
10 51 1000
10 52 1000
10 53 1000
10 54 1000
10 55 1000
10 56 1000
10 57 1000
10 58 1000
10 59 1000
10 60 1000
10 61 1000
10 62 1000
10 63 1000
10 64 1000
10 65 1000
10 66 1000
10 67 1000
10 68 1000
10 69 1000
10 70 1000
10 71 1000
10 72 1000
10 73 1000
10 74 1000
10 75 1000
10 76 1000
10 77 1000
10 78 1000
10 79 1000
10 80 1000
10 81 1000
10 82 1000
10 83 1000
10 84 1000
10 85 1000
10 86 1000
10 87 1000
10 88 1000
10 89 1000
10 90 1000
10 91 1000
10 92 1000
10 93 1000
10 94 1000
10 95 1000
10 96 1000
10 97 1000
10 98 1000
10 99 1000
10 100 1000
11 12 1000
11 13 1000
11 14 1000
11 15 1000
11 16 1000
11 17 1000
11 18 1000
11 19 1000
11 20 1000
11 21 1000
11 22 1000
11 23 1000
11 24 1000
11 25 1000
11 26 1000
11 27 1000
11 28 1000
11 29 1000
11 30 1000
11 31 1000
11 32 1000
11 33 1000
11 34 1000
11 35 1000
11 36 1000
11 37 1000
11 38 1000
11 39 1000
11 40 1000
11 41 1000
11 42 1000
11 43 1000
11 44 1000
11 45 1000
11 46 1000
11 47 1000
11 48 1000
11 49 1000
11 50 1000
11 51 1000
11 52 1000
11 53 1000
11 54 1000
11 55 1000
11 56 1000
11 57 1000
11 58 1000
11 59 1000
11 60 1000
11 61 1000
11 62 1000
11 63 1000
11 64 1000
11 65 1000
11 66 1000
